Generation_0;[12, 12, 12, 10];10.2
Generation_1;[11, 11, 11, 8];9.8
Generation_2;[12, 12, 10, 8];10.0
Generation_3;[12, 11, 11, 12];10.0
Generation_4;[12, 11, 9, 9];9.5
Generation_5;[12, 12, 12, 12];9.6
Generation_6;[13, 13, 12, 11];11.0
Generation_7;[12, 12, 12, 12];10.3
Generation_8;[12, 12, 10, 12];9.9
Generation_9;[13, 12, 12, 9];10.9
Generation_10;[13, 12, 12, 11];10.9
Generation_11;[12, 12, 12, 10];10.6
Generation_12;[10, 10, 10, 9];9.1
Generation_13;[13, 13, 12, 9];10.8
Generation_14;[11, 11, 11, 9];9.6
Generation_15;[13, 11, 11, 8];10.1
Generation_16;[13, 12, 11, 10];10.6
Generation_17;[12, 11, 11, 10];10.1
Generation_18;[13, 12, 12, 8];10.8
Generation_19;[12, 12, 12, 8];10.4
Generation_20;[13, 12, 12, 12];10.8
Generation_21;[13, 13, 12, 9];11.0
Generation_22;[12, 12, 12, 9];10.7
Generation_23;[13, 12, 12, 11];10.3
Generation_24;[13, 12, 12, 9];10.3
Generation_25;[12, 12, 11, 12];10.2
Generation_26;[13, 13, 12, 10];10.5
Generation_27;[13, 12, 12, 13];10.3
Generation_28;[13, 12, 11, 10];10.5
Generation_29;[12, 12, 12, 9];10.7
Generation_30;[12, 12, 11, 8];10.2
Generation_31;[12, 11, 11, 10];10.1
Generation_32;[13, 12, 11, 9];10.0
Generation_33;[13, 12, 12, 9];10.2
Generation_34;[158, 12, 12, 11];25.3
Generation_35;[200, 189, 139, 11];60.2
Generation_36;[200, 200, 200, 200];134.1
Generation_37;[200, 200, 183, 183];119.3
Generation_38;[200, 177, 177, 161];141.6
Generation_39;[200, 200, 174, 114];148.2
Generation_40;[198, 195, 187, 160];159.7
Generation_41;[190, 166, 161, 166];153.0
Generation_42;[200, 199, 185, 106];147.8
Generation_43;[200, 200, 196, 200];179.4
Generation_44;[199, 189, 188, 199];142.0
Generation_45;[200, 196, 194, 174];154.3
Generation_46;[200, 200, 200, 200];163.4
Generation_47;[199, 184, 167, 167];113.0
Generation_48;[200, 198, 193, 152];160.9
Generation_49;[200, 200, 200, 189];174.7
Generation_50;[193, 184, 184, 9];136.4
Generation_51;[200, 200, 157, 13];105.0
Generation_52;[200, 179, 170, 10];113.0
Generation_53;[200, 200, 200, 199];166.9
Generation_54;[200, 200, 200, 151];148.9
Generation_55;[200, 200, 200, 200];141.0
Generation_56;[200, 200, 200, 9];162.1
Generation_57;[200, 200, 200, 200];124.1
Generation_58;[200, 200, 200, 8];142.8
Generation_59;[200, 200, 200, 200];124.4
Generation_60;[200, 200, 200, 200];143.1
Generation_61;[200, 200, 200, 9];142.9
Generation_62;[200, 200, 200, 21];105.8
Generation_63;[200, 200, 200, 200];126.2
Generation_64;[200, 200, 200, 200];143.5
Generation_65;[200, 200, 200, 10];143.2
Generation_66;[200, 200, 200, 200];124.3
Generation_67;[200, 200, 200, 200];143.1
Generation_68;[200, 200, 200, 200];146.6
Generation_69;[200, 200, 200, 200];143.0
Generation_70;[200, 200, 200, 200];143.0
Generation_71;[200, 200, 200, 200];143.0
Generation_72;[200, 200, 200, 12];143.3
Generation_73;[200, 200, 200, 10];105.3
Generation_74;[200, 200, 200, 200];124.3
Generation_75;[200, 200, 200, 200];142.9
