Generation_0;[45, 12, 12, 11];11.85
Generation_1;[18, 14, 13, 11];11.4
Generation_2;[26, 24, 19, 13];12.9
Generation_3;[47, 47, 47, 22];22.05
Generation_4;[143, 55, 53, 49];48.5
Generation_5;[138, 130, 97, 11];57.8
Generation_6;[200, 197, 184, 53];80.6
Generation_7;[200, 200, 196, 117];109.35
Generation_8;[200, 200, 200, 200];156.45
Generation_9;[200, 200, 200, 200];157.55
Generation_10;[200, 200, 200, 13];153.25
Generation_11;[200, 200, 200, 11];116.05
Generation_12;[200, 200, 200, 200];115.65
Generation_13;[200, 200, 200, 200];164.05
Generation_14;[200, 200, 200, 200];185.65
Generation_15;[200, 200, 200, 200];169.65
Generation_16;[200, 200, 200, 200];187.1
Generation_17;[200, 200, 200, 200];171.65
Generation_18;[200, 200, 200, 200];162.7
Generation_19;[200, 200, 200, 200];183.65
Generation_20;[200, 200, 200, 198];196.65
