Generation_1;[13, 13, 12, 12];10.45
Generation_2;[12, 12, 12, 9];10.25
Generation_3;[54, 13, 12, 12];12.9
Generation_4;[78, 59, 58, 10];21.05
Generation_5;[75, 63, 63, 48];29.3
Generation_6;[75, 63, 60, 58];33.85
Generation_7;[70, 59, 56, 29];31.75
Generation_8;[66, 51, 49, 41];31.3
Generation_9;[70, 65, 62, 53];39.05
Generation_10;[67, 66, 66, 12];40.0
Generation_11;[70, 58, 56, 15];27.4
Generation_12;[71, 59, 56, 41];30.65
Generation_13;[67, 64, 56, 56];35.0
Generation_14;[79, 64, 61, 79];37.5
Generation_15;[82, 80, 78, 73];40.2
Generation_16;[141, 124, 117, 83];59.7
Generation_17;[152, 127, 86, 10];53.25
Generation_18;[196, 153, 144, 143];60.5
