Generation_0;[12, 12, 12, 10];10.6
Generation_1;[12, 12, 11, 8];10.4
Generation_2;[12, 11, 11, 9];9.9
Generation_3;[12, 11, 11, 9];10.3
Generation_4;[13, 12, 10, 10];10.2
Generation_5;[12, 12, 11, 9];10.1
Generation_6;[13, 12, 11, 10];10.3
Generation_7;[13, 13, 13, 9];10.7
Generation_8;[12, 12, 12, 8];10.0
Generation_9;[13, 12, 12, 9];10.9
Generation_10;[13, 13, 12, 10];10.9
Generation_11;[13, 12, 11, 9];10.1
Generation_12;[13, 12, 12, 13];10.7
Generation_13;[13, 10, 10, 9];9.6
Generation_14;[13, 12, 11, 11];10.7
Generation_15;[13, 12, 11, 11];10.5
Generation_16;[12, 12, 12, 8];10.4
Generation_17;[12, 12, 11, 9];10.2
Generation_18;[13, 12, 10, 12];10.1
Generation_19;[13, 13, 11, 8];10.2
Generation_20;[13, 12, 12, 10];10.5
Generation_21;[13, 11, 11, 8];10.1
Generation_22;[12, 11, 11, 10];9.9
Generation_23;[13, 11, 11, 13];10.0
Generation_24;[12, 11, 11, 11];10.0
Generation_25;[13, 12, 12, 10];10.7
Generation_26;[12, 12, 11, 11];10.3
Generation_27;[12, 12, 11, 11];10.0
Generation_28;[12, 12, 11, 11];9.9
Generation_29;[12, 12, 11, 10];10.3
Generation_30;[13, 12, 12, 8];11.0
Generation_31;[13, 11, 11, 10];10.8
Generation_32;[13, 12, 12, 11];11.3
Generation_33;[13, 12, 11, 11];10.5
Generation_34;[12, 12, 12, 9];10.1
Generation_35;[12, 12, 12, 12];10.5
Generation_36;[12, 11, 11, 10];10.1
Generation_37;[13, 13, 12, 12];10.9
Generation_38;[12, 12, 11, 12];10.7
Generation_39;[13, 13, 12, 10];11.0
Generation_40;[12, 12, 11, 10];10.4
Generation_41;[12, 12, 12, 12];10.9
Generation_42;[10, 10, 10, 9];9.1
Generation_43;[17, 13, 12, 11];11.7
Generation_44;[16, 16, 13, 9];12.4
Generation_45;[18, 16, 14, 12];13.1
Generation_46;[16, 16, 16, 16];14.1
Generation_47;[16, 16, 16, 14];13.1
Generation_48;[18, 16, 16, 15];14.1
Generation_49;[15, 14, 14, 13];12.9
Generation_50;[19, 15, 15, 13];14.0
Generation_51;[17, 17, 16, 17];14.6
Generation_52;[17, 16, 16, 16];13.8
Generation_53;[18, 17, 16, 11];14.1
Generation_54;[18, 17, 16, 14];14.3
Generation_55;[18, 17, 16, 17];14.6
Generation_56;[15, 14, 14, 15];12.5
Generation_57;[16, 14, 14, 12];12.8
Generation_58;[18, 16, 16, 16];13.9
Generation_59;[18, 16, 15, 15];13.4
Generation_60;[15, 14, 14, 11];11.9
Generation_61;[17, 15, 14, 10];13.0
Generation_62;[18, 14, 14, 9];12.0
Generation_63;[17, 16, 14, 10];13.2
Generation_64;[19, 16, 15, 9];12.9
Generation_65;[19, 15, 14, 12];13.0
Generation_66;[16, 16, 13, 10];12.0
Generation_67;[16, 15, 15, 15];13.4
Generation_68;[22, 18, 15, 9];13.6
Generation_69;[18, 17, 17, 15];14.5
Generation_70;[22, 21, 20, 12];15.7
Generation_71;[20, 18, 18, 18];15.4
Generation_72;[22, 18, 18, 18];15.6
Generation_73;[23, 20, 18, 18];16.1
Generation_74;[19, 19, 19, 13];15.6
Generation_75;[19, 18, 18, 14];15.2
Generation_76;[19, 18, 17, 17];15.2
Generation_77;[19, 19, 17, 17];16.0
Generation_78;[20, 20, 18, 16];15.0
Generation_79;[20, 17, 16, 15];15.3
Generation_80;[21, 18, 16, 15];15.7
Generation_81;[22, 22, 21, 14];17.2
Generation_82;[20, 20, 19, 20];16.5
Generation_83;[19, 19, 18, 16];15.4
Generation_84;[17, 17, 16, 16];15.0
Generation_85;[24, 22, 20, 20];16.7
Generation_86;[23, 18, 18, 18];14.8
Generation_87;[22, 20, 18, 15];15.8
Generation_88;[21, 19, 18, 14];16.1
Generation_89;[22, 18, 18, 17];16.2
Generation_90;[22, 19, 19, 11];16.0
Generation_91;[23, 22, 16, 23];15.9
Generation_92;[22, 22, 18, 15];16.5
Generation_93;[21, 20, 19, 19];16.9
Generation_94;[20, 18, 17, 13];14.8
Generation_95;[23, 22, 21, 15];18.3
Generation_96;[21, 18, 18, 14];16.8
Generation_97;[23, 21, 21, 15];17.3
Generation_98;[21, 19, 19, 21];16.4
Generation_99;[34, 21, 18, 16];17.4
Generation_100;[34, 29, 29, 15];21.8
Generation_101;[41, 37, 30, 21];23.2
Generation_102;[43, 37, 36, 25];29.8
Generation_103;[40, 39, 38, 34];32.3
Generation_104;[71, 49, 47, 29];40.7
Generation_105;[73, 55, 43, 37];38.3
Generation_106;[63, 52, 45, 25];37.9
Generation_107;[61, 51, 49, 49];40.7
Generation_108;[60, 38, 36, 36];33.0
Generation_109;[54, 51, 41, 51];34.6
Generation_110;[56, 44, 43, 10];37.1
Generation_111;[44, 41, 35, 44];26.3
Generation_112;[51, 51, 42, 23];32.9
Generation_113;[72, 43, 41, 31];35.3
Generation_114;[141, 61, 52, 29];51.9
Generation_115;[63, 61, 60, 63];48.1
Generation_116;[62, 58, 53, 36];40.5
Generation_117;[51, 50, 50, 38];39.5
Generation_118;[53, 41, 39, 12];33.6
Generation_119;[54, 49, 39, 54];34.2
Generation_120;[94, 77, 67, 33];51.1
Generation_121;[69, 65, 49, 38];45.0
Generation_122;[91, 81, 53, 53];47.7
Generation_123;[104, 56, 54, 34];43.9
Generation_124;[78, 60, 59, 60];45.8
Generation_125;[63, 60, 50, 45];42.4
Generation_126;[72, 68, 47, 29];41.1
Generation_127;[63, 50, 47, 36];41.6
Generation_128;[71, 70, 68, 48];45.3
Generation_129;[109, 52, 52, 45];51.1
Generation_130;[74, 54, 42, 42];38.9
Generation_131;[83, 72, 69, 72];44.0
Generation_132;[79, 46, 41, 33];37.2
Generation_133;[88, 66, 47, 66];45.3
Generation_134;[67, 48, 41, 67];35.8
Generation_135;[65, 56, 48, 35];38.4
Generation_136;[94, 56, 50, 94];47.5
Generation_137;[90, 63, 60, 60];42.3
Generation_138;[53, 50, 49, 41];40.2
Generation_139;[72, 68, 62, 72];50.1
Generation_140;[67, 51, 41, 37];36.2
Generation_141;[73, 57, 45, 33];40.5
Generation_142;[71, 68, 65, 29];49.7
Generation_143;[84, 52, 51, 31];42.8
Generation_144;[77, 72, 61, 31];47.5
Generation_145;[58, 53, 50, 53];42.2
Generation_146;[70, 60, 56, 28];39.0
Generation_147;[61, 59, 56, 59];46.0
Generation_148;[70, 68, 59, 68];43.8
Generation_149;[150, 70, 65, 37];53.6
Generation_150;[78, 70, 53, 70];46.0
Generation_151;[46, 45, 45, 39];35.9
Generation_152;[59, 38, 38, 31];34.3
Generation_153;[81, 66, 46, 10];43.0
Generation_154;[60, 51, 43, 12];34.3
Generation_155;[58, 49, 35, 49];25.0
Generation_156;[62, 57, 49, 34];40.0
Generation_157;[88, 83, 57, 28];47.1
Generation_158;[109, 90, 64, 30];50.9
Generation_159;[74, 66, 62, 66];45.0
Generation_160;[104, 86, 59, 35];46.7
Generation_161;[70, 59, 54, 42];42.4
Generation_162;[54, 50, 44, 30];37.5
Generation_163;[58, 53, 49, 58];43.5
Generation_164;[75, 64, 54, 43];45.5
Generation_165;[79, 61, 59, 61];49.5
Generation_166;[81, 61, 53, 61];45.0
Generation_167;[50, 41, 39, 11];31.6
Generation_168;[82, 78, 72, 32];42.0
Generation_169;[71, 57, 51, 46];45.9
Generation_170;[105, 65, 48, 36];47.3
Generation_171;[79, 58, 57, 58];43.9
Generation_172;[117, 82, 66, 39];48.5
Generation_173;[66, 52, 50, 66];43.1
Generation_174;[200, 200, 57, 43];72.0
Generation_175;[73, 66, 58, 32];43.7
Generation_176;[54, 52, 46, 54];42.2
Generation_177;[48, 48, 47, 36];37.2
Generation_178;[60, 45, 44, 36];37.5
Generation_179;[68, 50, 48, 50];40.8
Generation_180;[66, 64, 58, 11];44.2
Generation_181;[68, 49, 45, 38];39.4
Generation_182;[109, 84, 68, 35];55.6
Generation_183;[184, 82, 66, 32];62.9
Generation_184;[62, 55, 52, 36];45.0
Generation_185;[82, 58, 50, 36];47.6
Generation_186;[66, 52, 48, 28];44.4
Generation_187;[82, 72, 56, 49];49.6
Generation_188;[93, 71, 64, 41];49.3
Generation_189;[68, 50, 48, 33];41.0
Generation_190;[51, 42, 40, 42];36.5
Generation_191;[50, 46, 42, 10];35.4
Generation_192;[42, 41, 40, 28];30.7
Generation_193;[67, 66, 65, 33];42.2
Generation_194;[200, 73, 51, 38];59.9
Generation_195;[198, 53, 47, 47];56.0
Generation_196;[78, 65, 57, 12];44.6
Generation_197;[83, 56, 35, 11];30.3
Generation_198;[64, 50, 47, 43];34.3
Generation_199;[103, 58, 55, 58];49.6
Generation_200;[65, 53, 50, 53];41.8
Generation_201;[105, 93, 59, 41];53.1
Generation_202;[63, 55, 53, 45];47.3
Generation_203;[72, 60, 59, 60];54.4
Generation_204;[91, 62, 62, 40];48.0
Generation_205;[72, 72, 68, 10];53.3
Generation_206;[66, 59, 37, 37];30.8
Generation_207;[200, 200, 200, 46];86.9
Generation_208;[200, 75, 74, 75];60.2
Generation_209;[200, 200, 200, 72];155.6
Generation_210;[200, 200, 200, 72];149.4
Generation_211;[200, 200, 200, 65];148.3
Generation_212;[200, 200, 132, 8];60.7
Generation_213;[200, 200, 200, 10];102.3
Generation_214;[200, 200, 200, 200];95.7
Generation_215;[200, 200, 200, 12];109.1
Generation_216;[200, 200, 200, 200];90.8
Generation_217;[200, 200, 200, 200];131.2
Generation_218;[200, 200, 200, 200];130.4
Generation_219;[200, 200, 200, 200];116.7
Generation_220;[200, 200, 200, 69];117.6
Generation_221;[200, 200, 200, 11];162.2
Generation_222;[200, 200, 200, 200];101.6
Generation_223;[200, 200, 200, 8];124.2
Generation_224;[200, 200, 68, 8];60.3
Generation_225;[200, 108, 77, 10];60.2
Generation_226;[200, 125, 109, 47];66.8
Generation_227;[200, 200, 172, 200];121.9
Generation_228;[200, 200, 200, 161];157.8
Generation_229;[200, 200, 200, 200];149.7
Generation_230;[200, 200, 200, 200];139.4
Generation_231;[200, 200, 200, 12];143.2
Generation_232;[200, 200, 200, 12];95.4
Generation_233;[200, 200, 192, 52];76.5
Generation_234;[200, 200, 200, 39];121.1
Generation_235;[200, 200, 200, 200];105.5
Generation_236;[200, 200, 200, 200];143.1
Generation_237;[200, 200, 200, 164];139.8
Generation_238;[200, 200, 200, 200];162.5
Generation_239;[200, 200, 200, 200];143.2
Generation_240;[200, 200, 200, 12];109.3
Generation_241;[200, 200, 200, 10];103.4
Generation_242;[200, 200, 111, 200];68.4
Generation_243;[200, 200, 200, 200];161.9
Generation_244;[200, 200, 200, 200];143.0
Generation_245;[200, 200, 200, 200];143.1
Generation_246;[200, 200, 200, 200];143.2
Generation_247;[200, 200, 200, 11];143.2
Generation_248;[200, 200, 200, 200];134.0
Generation_249;[200, 200, 200, 9];142.8
Generation_250;[200, 200, 200, 12];102.2
Generation_251;[200, 200, 200, 200];129.6
Generation_252;[200, 200, 200, 200];143.5
Generation_253;[200, 200, 200, 10];140.6
Generation_254;[200, 200, 200, 11];124.3
Generation_255;[200, 200, 45, 200];51.7
Generation_256;[200, 200, 147, 47];83.6
Generation_257;[200, 200, 200, 200];143.8
Generation_258;[200, 200, 200, 159];113.8
Generation_259;[200, 200, 190, 168];110.0
Generation_260;[200, 200, 200, 53];130.9
Generation_261;[200, 200, 200, 200];141.3
Generation_262;[200, 200, 200, 200];142.1
Generation_263;[200, 200, 200, 168];139.4
Generation_264;[200, 200, 200, 200];135.0
Generation_265;[200, 200, 200, 200];142.7
Generation_266;[200, 200, 200, 180];140.5
Generation_267;[200, 200, 200, 200];161.9
